Model Type,Confidence Threshold,Include Rating,Include SentiScore,Shuffle Data,Use Grid Search,Pre_Pipeline_F1,Post_Pipeline_F1,Time Taken
random_forest,0.5,True,True,True,False,0.5194174757281553,0.5533980582524272,4.053154945373535
random_forest,0.5,True,True,False,False,0.6456310679611651,0.6753398058252428,3.3549487590789795
random_forest,0.5,True,False,True,False,0.6116504854368932,0.6456310679611651,3.6463632583618164
random_forest,0.5,True,False,False,False,0.6601941747572816,0.6850485436893204,3.7840349674224854
random_forest,0.5,False,True,True,False,0.6067961165048543,0.6362135922330098,3.979768991470337
random_forest,0.5,False,True,False,False,0.6262135922330098,0.6504854368932039,3.689155101776123
random_forest,0.5,False,False,True,False,0.5436893203883495,0.5825242718446602,3.714449167251587
random_forest,0.5,False,False,False,False,0.6213592233009708,0.6313592233009708,3.900331974029541
random_forest,0.6,True,True,True,False,0.6456310679611651,0.6553398058252428,4.624626159667969
random_forest,0.6,True,True,False,False,0.6456310679611651,0.6504854368932039,4.299084186553955
random_forest,0.6,True,False,True,False,0.6310679611650486,0.6510679611650486,4.0718348026275635
random_forest,0.6,True,False,False,False,0.6601941747572816,0.6899029126213593,4.298005819320679
random_forest,0.6,False,True,True,False,0.5970873786407767,0.6222330097087378,4.777292013168335
random_forest,0.6,False,True,False,False,0.6262135922330098,0.6504854368932039,4.765623092651367
random_forest,0.6,False,False,True,False,0.6553398058252428,0.6747572815533981,4.313033103942871
random_forest,0.6,False,False,False,False,0.6213592233009708,0.636504854368932,4.25714898109436
random_forest,0.7,True,True,True,False,0.5485436893203883,0.5825242718446602,4.636016845703125
random_forest,0.7,True,True,False,False,0.6456310679611651,0.6456310679611651,4.7672119140625
random_forest,0.7,True,False,True,False,0.6844660194174758,0.7138834951456311,4.7454609870910645
random_forest,0.7,True,False,False,False,0.6601941747572816,0.6699029126213593,4.99215841293335
random_forest,0.7,False,True,True,False,0.5388349514563107,0.5776699029126213,5.141209840774536
random_forest,0.7,False,True,False,False,0.6262135922330098,0.6504854368932039,4.805727958679199
random_forest,0.7,False,False,True,False,0.5631067961165048,0.598252427184466,4.477353811264038
random_forest,0.7,False,False,False,False,0.6213592233009708,0.6316504854368932,4.834562063217163
random_forest,0.8,True,True,True,False,0.5776699029126213,0.6116504854368932,5.364530086517334
random_forest,0.8,True,True,False,False,0.6456310679611651,0.7207766990291263,5.201770067214966
random_forest,0.8,True,False,True,False,0.5970873786407767,0.7213592233009708,5.312536954879761
random_forest,0.8,True,False,False,False,0.6601941747572816,0.7299029126213593,5.386591911315918
random_forest,0.8,False,True,True,False,0.6262135922330098,0.6462135922330098,4.70779013633728
random_forest,0.8,False,True,False,False,0.6262135922330098,0.6456310679611651,5.356228828430176
random_forest,0.8,False,False,True,False,0.6310679611650486,0.6456310679611651,4.793489694595337
random_forest,0.8,False,False,False,False,0.6213592233009708,0.6567961165048543,5.034991979598999
naive_bayes,0.5,True,True,True,False,0.5922330097087378,0.6213592233009708,2.3457143306732178
naive_bayes,0.5,True,True,False,False,0.5436893203883495,0.5388349514563107,1.6389341354370117
naive_bayes,0.5,True,False,True,False,0.5631067961165048,0.5339805825242718,1.902245044708252
naive_bayes,0.5,True,False,False,False,0.5485436893203883,0.529126213592233,1.8422441482543945
naive_bayes,0.5,False,True,True,False,0.3592233009708738,0.4368932038834951,1.9630048274993896
naive_bayes,0.5,False,True,False,False,0.4077669902912621,0.5436893203883495,2.704284191131592
naive_bayes,0.5,False,False,True,False,0.44660194174757284,0.5533980582524272,2.628720283508301
naive_bayes,0.5,False,False,False,False,0.45145631067961167,0.5339805825242718,2.435412883758545
naive_bayes,0.6,True,True,True,False,0.6067961165048543,0.6067961165048543,2.3615078926086426
naive_bayes,0.6,True,True,False,False,0.5436893203883495,0.5194174757281553,2.771929979324341
naive_bayes,0.6,True,False,True,False,0.5679611650485437,0.5728155339805825,2.852674722671509
naive_bayes,0.6,True,False,False,False,0.5485436893203883,0.5145631067961165,2.7540130615234375
naive_bayes,0.6,False,True,True,False,0.42718446601941745,0.46116504854368934,2.0014960765838623
naive_bayes,0.6,False,True,False,False,0.4077669902912621,0.5922330097087378,3.6859078407287598
naive_bayes,0.6,False,False,True,False,0.4368932038834951,0.49029126213592233,2.5804901123046875
naive_bayes,0.6,False,False,False,False,0.45145631067961167,0.5339805825242718,2.9483721256256104
naive_bayes,0.7,True,True,True,False,0.5776699029126213,0.5776699029126213,4.0127410888671875
naive_bayes,0.7,True,True,False,False,0.5436893203883495,0.5048543689320388,3.7914469242095947
naive_bayes,0.7,True,False,True,False,0.5728155339805825,0.5825242718446602,3.614053964614868
naive_bayes,0.7,True,False,False,False,0.5485436893203883,0.5145631067961165,3.3658640384674072
naive_bayes,0.7,False,True,True,False,0.441747572815534,0.4854368932038835,2.903715133666992
naive_bayes,0.7,False,True,False,False,0.4077669902912621,0.587378640776699,4.2531819343566895
naive_bayes,0.7,False,False,True,False,0.47572815533980584,0.5145631067961165,2.603957176208496
naive_bayes,0.7,False,False,False,False,0.45145631067961167,0.5339805825242718,3.4383411407470703
naive_bayes,0.8,True,True,True,False,0.5145631067961165,0.5145631067961165,3.7143869400024414
naive_bayes,0.8,True,True,False,False,0.5436893203883495,0.5048543689320388,3.949666976928711
naive_bayes,0.8,True,False,True,False,0.470873786407767,0.46116504854368934,3.5358998775482178
naive_bayes,0.8,True,False,False,False,0.5485436893203883,0.5145631067961165,3.7376315593719482
naive_bayes,0.8,False,True,True,False,0.3932038834951456,0.5,3.7345340251922607
naive_bayes,0.8,False,True,False,False,0.4077669902912621,0.587378640776699,4.788914918899536
naive_bayes,0.8,False,False,True,False,0.4174757281553398,0.5097087378640777,3.5770809650421143
naive_bayes,0.8,False,False,False,False,0.45145631067961167,0.5339805825242718,3.7525827884674072
mlp,0.5,True,True,True,False,0.6504854368932039,0.6553398058252428,78.81690406799316
mlp,0.5,True,True,False,False,0.6407766990291263,0.6407766990291263,72.55526518821716
mlp,0.5,True,False,True,False,0.6213592233009708,0.6213592233009708,68.4378387928009
mlp,0.5,True,False,False,False,0.6601941747572816,0.6601941747572816,86.04059267044067
mlp,0.5,False,True,True,False,0.6067961165048543,0.6019417475728155,71.32424306869507
mlp,0.5,False,True,False,False,0.6213592233009708,0.6262135922330098,66.40164089202881
mlp,0.5,False,False,True,False,0.5533980582524272,0.5533980582524272,86.38071918487549
mlp,0.5,False,False,False,False,0.6310679611650486,0.6310679611650486,81.07973504066467
mlp,0.6,True,True,True,False,0.5339805825242718,0.558252427184466,93.47753620147705
mlp,0.6,True,True,False,False,0.6407766990291263,0.6456310679611651,80.15227603912354
mlp,0.6,True,False,True,False,0.5533980582524272,0.5679611650485437,73.38268113136292
mlp,0.6,True,False,False,False,0.6601941747572816,0.6650485436893204,70.39511394500732
mlp,0.6,False,True,True,False,0.5631067961165048,0.5728155339805825,71.7797122001648
mlp,0.6,False,True,False,False,0.6213592233009708,0.6310679611650486,69.12566709518433
mlp,0.6,False,False,True,False,0.5679611650485437,0.5728155339805825,63.82167315483093
mlp,0.6,False,False,False,False,0.6310679611650486,0.6359223300970874,66.7230498790741
mlp,0.7,True,True,True,False,0.5388349514563107,0.5436893203883495,95.19563579559326
mlp,0.7,True,True,False,False,0.6407766990291263,0.6456310679611651,80.95967888832092
mlp,0.7,True,False,True,False,0.5970873786407767,0.6359223300970874,86.78279423713684
mlp,0.7,True,False,False,False,0.6601941747572816,0.6747572815533981,72.15445709228516
mlp,0.7,False,True,True,False,0.5922330097087378,0.6019417475728155,70.34370994567871
mlp,0.7,False,True,False,False,0.6213592233009708,0.6359223300970874,63.11449193954468
mlp,0.7,False,False,True,False,0.5097087378640777,0.529126213592233,71.4518210887909
mlp,0.7,False,False,False,False,0.6310679611650486,0.6407766990291263,64.84083294868469
mlp,0.8,True,True,True,False,0.6310679611650486,0.6504854368932039,66.98632907867432
mlp,0.8,True,True,False,False,0.6407766990291263,0.6650485436893204,65.54698991775513
mlp,0.8,True,False,True,False,0.558252427184466,0.587378640776699,68.13718295097351
mlp,0.8,True,False,False,False,0.6601941747572816,0.6747572815533981,67.17718195915222
mlp,0.8,False,True,True,False,0.5194174757281553,0.5533980582524272,94.8685610294342
mlp,0.8,False,True,False,False,0.6213592233009708,0.6262135922330098,90.98763918876648
mlp,0.8,False,False,True,False,0.5728155339805825,0.5922330097087378,66.23850178718567
mlp,0.8,False,False,False,False,0.6310679611650486,0.6456310679611651,69.55634474754333
